User_AI_ID,User_ID,User_Name,Account_Age,Global_Banned
1,176762010300710912,metro1975#0,2016-05-02,False
2,302807083231870976,ell1d#0,2017-04-15,False
3,374727440481910799,sirjachin#0,2017-10-31,False
4,445724399333801995,lazy_sage#0,2018-05-14,False
5,480784783878651905,emerr77747#0,2018-08-19,False
6,679415500551487498,_primordial_#0,2020-02-18,False
7,785623712216383489,bestestfwend#0,2020-12-07,False
8,864975494847660052,chilledfisher#0,2021-07-14,False
9,869976020063780874,grandadmiralsteel#0,2021-07-28,False
10,874075987544006756,clarin3tb0y#0,2021-08-08,False
11,920367772825960459,legatus_talius#0,2021-12-14,False
12,1037083161257062500,raymondthereliable#0,2022-11-01,False
13,1203886328446713950,joseamalio#0,2024-02-05,False
14,1253475079002787913,starbolt0.#0,2024-06-20,False
15,1305966799451459604,lindy_445.#0,2024-11-12,False
16,1296487588085108748,alexliam0572#0,2024-10-17,True
17,1127063996588105838,danielsud86#0,2023-07-08,False
18,874964049459306508,dergeheimagentf#0,2021-08-11,False
19,933526505911361546,._.cardinal._.#0,2022-01-20,False
20,1251593785507450953,slappypants9000#0,2024-06-15,False
21,630873025046249493,izac999#0,2019-10-07,False
22,637095040740753408,aedanlong#0,2019-10-25,False
23,1301845648865234955,juliecutie1#0,2024-11-01,True
24,1189912842879635479,marykind1#0,2023-12-28,False
25,1138920338311356539,danispark_46709#0,2023-08-09,False
26,315266187296636930,tankhunter117#0,2017-05-19,False
27,875919769579159652,tenacious_torrent#0,2021-08-14,False
28,1311125047703769110,darkside021903#0,2024-11-27,False
29,446813979503755275,spotzenn#0,2018-05-17,False
30,98124229580431360,ampm#0,2015-09-28,False
31,320037639107641344,canadianguyman#0,2017-06-02,False
32,143099212819726337,chiyo13#0,2016-01-30,False
33,347038122036428800,shadowsstride#0,2017-08-15,False
34,764179242329833482,broanno#0,2020-10-09,False
35,706307540690010143,ashgame0#0,2020-05-03,False
36,1208412427323056190,kayla074#0,2024-02-17,True
37,1022274793598365716,queen_layla7647#0,2022-09-21,False
38,1150148945645944934,norseman0873_89120#0,2023-09-09,False
39,1061843736193159188,slink.182#0,2023-01-09,False
40,1287834926980272199,ilyssm_tg563#0,2024-09-23,False
41,732026938499268678,.braveangel#0,2020-07-13,False
42,517519006085808135,maiyamaiya#0,2018-11-29,False
43,408352010136715265,reesespuffpizza#0,2018-01-31,False
44,479335424775684096,themissingmetallurgist#0,2018-08-15,False
45,866029288918876180,buzzlightyears_nostril_hairs0010#0,2021-07-17,False
46,759762672094412811,mrscoolgirl3176#0,2020-09-27,False
47,1304520803198701650,jennyanna0205#0,2024-11-08,False
48,380838074319372289,coolguy9006#0,2017-11-16,False
49,760643815710130186,theapeyestofapes#0,2020-09-29,False
50,1186050973433597999,terminator0435#0,2023-12-17,False
51,708743654956597298,corrosion04#0,2020-05-09,False
52,1146864042317709342,kirsten_world#0,2023-08-31,False
53,577610180875780106,media_robloxairport14#0,2019-05-13,False
54,944338790082838530,dragonking251#0,2022-02-18,False
55,268202069951774720,weskerskitten.#0,2017-01-10,False
56,568578011935277065,gamepulse#0,2019-04-18,False
57,405084183833214990,powerjagger#0,2018-01-22,False
58,755558495373230250,caderaye#0,2020-09-15,False
59,1292474085628182681,love_mcheard#0,2024-10-06,True
60,569332359443251200,asheck1656#0,2019-04-21,False
61,901930742815260722,pann_69#0,2021-10-24,False
62,808923730167201812,iliketreesz#0,2021-02-10,False
63,814057695270142023,mills7276#0,2021-02-24,False
64,1240943109144313939,cate_will#0,2024-05-17,False
65,468120926073126922,nerfy_21#0,2018-07-15,False
66,436293268276510772,tclevs#0,2018-04-18,False
67,1121045860579557416,crazy_fire#0,2023-06-21,False
68,1195127832414793838,wildlife0916#0,2024-01-11,False
69,667216863654182933,spicymcpie#0,2020-01-16,False
70,417160208855597056,garrettvanosdel#0,2018-02-25,False
71,556989020932931624,epicgamer57540#0,2019-03-17,False
72,662468660786626560,rosec1804#0,2020-01-03,False
73,751788287294832641,camreenicole#0,2020-09-05,False
74,796835065287934042,calano_corvus#0,2021-01-07,False
75,511977917299818497,nightvampalihan#0,2018-11-13,False
76,440231744185171989,otterqueen0717#0,2018-04-29,False
77,274384798284251137,hyperdriveguy#0,2017-01-27,False
78,753753047720657007,xxajboix#0,2020-09-10,False
79,442510335346475008,invictusvictoris#0,2018-05-06,False
80,637529696468336653,elfo22#0,2019-10-26,False
81,466518606809923585,nerdym0n0#0,2018-07-11,False
82,1121236154306543749,freelancenomad#0,2023-06-22,False
83,1094783899579719680,gummy_axolotl#0,2023-04-10,False
84,1075536812757487707,5136771#0,2023-02-15,False
85,516681121568653334,bradynmatthias#0,2018-11-26,False
86,400147174219972618,sugardaze3621#0,2018-01-09,False
87,610620163737255936,shadowglitch2734#0,2019-08-12,False
88,1307802404372090884,sharonjackson0433#0,2024-11-17,False
89,1294071423152947360,janice_53#0,2024-10-10,False
90,275612480271548416,ranenay#0,2017-01-30,False
91,888077870012960839,kali4real#0,2021-09-16,False
92,478943412704509965,zzpumpkinbabies#0,2018-08-14,False
93,409376750762590228,acekabuto#0,2018-02-03,False
94,1098836975433285633,llamaderp113#0,2023-04-21,False
95,1087824250817233017,jakediehardutahfan#0,2023-03-21,False
96,1236361647535427624,madcheese19#0,2024-05-04,False
97,1222021159411777558,cernnunos_#0,2024-03-26,False
98,731255123262701649,therealrolandjones#0,2020-07-10,False
99,455728840162017280,stephanosbad#0,2018-06-11,False
100,943370330473386055,manonini#0,2022-02-16,False
101,547144840056537088,jezaniah3d#0,2019-02-18,False
102,839256088293670941,cellistjudoka#0,2021-05-04,False
103,1021245403431194715,emmymae01#0,2022-09-19,False
104,943629324626563083,thesilliestgoose_#0,2022-02-16,False
105,731902582741532705,novelmaru#0,2020-07-12,False
106,797785177199869952,cash7444#0,2021-01-10,False
107,903342267878760490,bunnygamerowo#0,2021-10-28,False
108,769592163544989716,xxawesomeo329#0,2020-10-24,False
109,945826326089195570,starsetknight#0,2022-02-22,False
110,958528466251292733,newell_or_whatever#0,2022-03-30,False
111,1308815629171560468,mal_pal05#0,2024-11-20,False
112,1185481916825206896,miss387209#0,2023-12-16,False
113,692283031888592957,heavennesxlstice#0,2020-03-25,False
114,741099383185211463,akihiro2261#0,2020-08-07,False
115,809930853814763521,chikn34#0,2021-02-12,False
116,1307787731723878454,5vlw#0,2024-11-17,False
117,804878386270044232,henricopter77#0,2021-01-30,False
118,776249098016653342,sonnem.#0,2020-11-12,False
119,1337850556676313119,migueluy0758#0,2025-02-08,False
120,691069349276024833,albatorlaho#0,2020-03-21,False
121,1299056834635890740,emmy098553#0,2024-10-24,False
122,833021490319982593,vaporr.801#0,2021-04-17,False
123,504669878066610176,hei.mei#0,2018-10-24,False
124,960409991800569876,toni_a_lma#0,2022-04-04,False
125,664586223075196939,.shinkume#0,2020-01-08,False
126,764652753162600470,goose4744#0,2020-10-11,False
127,1160511336699150368,aceyzxq#0,2023-10-08,False
128,930138264902451241,iron_ftw#0,2022-01-10,False
129,386933219167174660,themaster7862#0,2017-12-03,False
130,974057158243147777,aerhart4475#0,2022-05-11,False
131,931549747586691142,mariaax314666#0,2022-01-14,False
132,1119001426077696010,breadrex#0,2023-06-15,False
133,719842104582340640,hellodarknessmyoldfriend000#0,2020-06-09,False
134,1206023221502283869,saverflaver#0,2024-02-10,False
135,511181955283550228,loserone1#0,2018-11-11,False
136,1185270237738848337,kellogscerealbreakfast#0,2023-12-15,False
137,467515017957212173,mashed_potato_bowen#0,2018-07-14,False
138,1155703501742149673,manogyadahal7#0,2023-09-25,False
139,1264554834703417346,ludditeshelter#0,2024-07-21,False
140,195993741339787264,ilaunchgobs#0,2016-06-24,False
141,981091299677577219,isbatmannn#0,2022-05-31,False
142,994909663076302898,jesussavesus5718#0,2022-07-08,False
143,1276011278753726584,saintfinnbarr_07381#0,2024-08-22,False
144,1226071210492956682,pleasejustlisten2me#0,2024-04-06,False
145,939722552006291456,queennerissa#0,2022-02-06,False
146,1015602273725984871,swellbreeze#0,2022-09-03,False
147,1205088887500963864,ccbossbone#0,2024-02-08,False
148,153623394871410689,notelect#0,2016-02-28,False
149,1177252600043798554,broshigames#0,2023-11-23,False
150,1292307568659796028,bigaloot#0,2024-10-06,False
151,1255574965009514617,thwzsghsb#0,2024-06-26,False
152,874726448311717890,hagridthefirst#0,2021-08-10,False
153,1137785190509453352,funnygator0352#0,2023-08-06,False
154,408997472648560650,silkishroad#0,2018-02-02,False
155,773635306775248926,miski_miki#0,2020-11-04,False
156,664252350848040980,usagidaisuki#0,2020-01-07,False
157,866071118409760830,themathlemon314#0,2021-07-17,False
158,1290886071420456963,roberto1354238#0,2024-10-02,False
159,751364918535782411,hiroshitzu#0,2020-09-04,False
160,1116899445074825226,mitsukiii3986#0,2023-06-10,False
161,1028450206515204096,zoricas#0,2022-10-08,False
162,1207107781602312285,8fonker_poker9#0,2024-02-13,False
163,953016392616140890,d0ggsn0t#0,2022-03-14,False
164,804759346079989823,baltome#0,2021-01-29,False
165,516441439580979213,biglybrainbear#0,2018-11-26,False
166,1150995648938786912,c0bywan#0,2023-09-12,False
167,1249566750022963210,charlottedavis0702#0,2024-06-10,False
168,1096810403524263996,cornbeefy#0,2023-04-15,False
169,834425156466114590,polaroar#0,2021-04-21,False
170,274961533522542592,santiago.mattermoros.david.dlt#0,2017-01-28,False
171,1136434449882550352,helper19#0,2023-08-02,False
172,1196526112185008202,okoyeshome#0,2024-01-15,False
173,1215061493809422416,_thenotorious.big_#0,2024-03-06,False
174,1227781566177083504,gottarooku7#0,2024-04-11,False
175,955232022278844496,shakira798#0,2022-03-20,False
176,479367818115022858,chillidig#0,2018-08-15,False
177,1184584154197794826,logan06963#0,2023-12-13,False
178,610685748106100760,jungshook_#0,2019-08-13,False
179,1078663781955158078,mount_vernon#0,2023-02-24,False
180,846934258609946636,starqueen663#0,2021-05-26,False
181,943249130862542910,akuji.sog#0,2022-02-15,False
182,1041036382098960506,yirmeyahu.#0,2022-11-12,False
183,702786382451441725,breylaw#0,2020-04-23,False
184,788890254534508554,gingerbaker.#0,2020-12-16,False
185,1246223375207239701,anton77890#0,2024-05-31,False
186,1225415849196785676,based_q8ti#0,2024-04-04,False
187,972669364492968017,germany7496#0,2022-05-08,False
188,966110146570883134,isasaifullah#0,2022-04-19,False
189,1023157611606048800,brick6509#0,2022-09-24,False
190,905263432566177863,sunshine061416#0,2021-11-03,False
191,1202248467896864771,rabbidsnek#0,2024-01-31,False
192,955541425901170758,blepperton#0,2022-03-21,False
193,786225638976782336,eriusz#0,2020-12-09,False
194,809623686289555466,titan.purp#0,2021-02-12,False
195,991958886967955506,ceine._dd#0,2022-06-30,False
196,766673608491532288,chylls7536#0,2020-10-16,False
197,900482953858125854,kiyoiiii#0,2021-10-20,False
198,708457216813826118,conradczn#0,2020-05-08,False
199,1254574000345190495,fieryyy5#0,2024-06-23,False
200,1187878959531180134,christianmusic.lyrics#0,2023-12-22,False
201,1238390955590287360,celestiallyxoxo_52415#0,2024-05-10,False
202,714170083223797800,jennxoxo0261#0,2020-05-24,False
203,946617070450274346,untochrist#0,2022-02-25,False
204,1194596021444030566,bzcevo#0,2024-01-10,False
205,983908196089483306,somethingrandom1682#0,2022-06-08,False
